name,orgnr,omsattning_tkrk,anstallda,ort,branscher,allabolag_url
"Sonarps Interiör AB",556747-8150,12107,2,"567 91 Vaggeryd","Kontorsinredningar;Grossister",https://www.allabolag.se/foretag/sonarps-interi%C3%B6r-ab/vaggeryd/-/5567478150
"Somnum AB",559190-1912,17164,5,"702 36 Örebro","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/somnum-ab/%C3%B6rebro/-/5591901912
"Solskydd & Design i Väst AB",556553-6777,18973,7,"421 48 Västra Frölunda","Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/solskydd-design-i-v%C3%A4st-ab/v%C3%A4stra-fr%C3%B6lunda/-/5565536777
"Solariserat Solskydd AB",559036-2140,11092,4,"113 34 Stockholm","Metaller, legeringar;Textilier;Gummi och plastprodukter - tillverkning;Metaller, legeringar - Produktion;Möbler, inredning, kök- och belysningsutrustning;Producenter;Textilier - Produktion;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/solariserat-solskydd-ab/stockholm/-/5590362140
"Soffkoncept Sverige AB",559061-4870,14935,3,"136 47 Haninge","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/soffkoncept-sverige-ab/haninge/-/5590614870
"Smögens Skeppshandel AB",556749-7663,11725,3,"456 51 Smögen","Färger, lacker, tapeter;Golvbeläggningar;Mattor;Fritidsbåtar och utrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sm%C3%B6gens-skeppshandel-ab/sm%C3%B6gen/-/5567497663
"Smedjebyn Inredning AB",556628-5572,12577,9,"553 20 Jönköping","Kläder, skor;Konfektion;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/smedjebyn-inredning-ab/j%C3%B6nk%C3%B6ping/-/5566285572
"Slettvoll Malmö AB",556758-0302,17960,5,"211 34 Malmö","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/slettvoll-malm%C3%B6-ab/malm%C3%B6/-/5567580302
"Skummeslövs golv, färg & interiör AB",556842-7164,17975,11,"312 72 Skummeslövsstrand","Byggmästare;Färger, lacker, tapeter;Golvbeläggningar;Mattor;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/skummesl%C3%B6vs-golv-f%C3%A4rg-interi%C3%B6r-ab/skummesl%C3%B6vsstrand/-/5568427164
"Skroten Café och Skeppshandel AB",559204-7285,12909,10,"115 21 Stockholm","Restauranger;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/skroten-caf%C3%A9-och-skeppshandel-ab/stockholm/-/5592047285
"Skillingaryds Glas & Porslin AB",556615-1477,11817,6,"554 39 Jönköping","Fastighetsbolag, lokaler;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/skillingaryds-glas-porslin-ab/j%C3%B6nk%C3%B6ping/-/5566151477
"Skelleftekök AB",556624-8034,14508,12,"932 37 Ursviken","Möbler;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel;Virke och byggvaror",https://www.allabolag.se/foretag/skelleftek%C3%B6k-ab/ursviken/-/5566248034
"Skargaarden International AB",556899-4387,17286,5,"803 10 Gävle","Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/skargaarden-international-ab/g%C3%A4vle/-/5568994387
"Skaraborgs möbelhus AB",559115-7788,15432,5,"531 60 Lidköping","Möbler;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/skaraborgs-m%C3%B6belhus-ab/lidk%C3%B6ping/-/5591157788
"Sina Gross AB",559242-6349,12134,4,"424 68 Angered","Livsmedel;Grossister;Livsmedel - agenturer och grossister;Möbler, inredning, kök- och belysningsutrustning;Butikshandel;Detaljhandel",https://www.allabolag.se/foretag/sina-gross-ab/angered/-/5592426349
"Shape Design & Produktion Sweden AB",556794-0605,11925,3,"331 53 Värnamo","Butiksinredningar, butiksutrustningar;Kontorsinredningar;Möbler;Grossister;Möbler - Produktion;Producenter",https://www.allabolag.se/foretag/shape-design-produktion-sweden-ab/v%C3%A4rnamo/-/5567940605
"Scandinavian Touch AB",556311-2647,16523,9,"142 66 Trångsund","Kontorsinredningar;Sport;Grossister;Kontorstjänster;Producenter;Sport - produktion",https://www.allabolag.se/foretag/scandinavian-touch-ab/tr%C3%A5ngsund/-/5563112647
