orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556443-6219,AKTIEBOLAGET LEE & PARTNERS,AKTIEBOLAGET LEE & PARTNERS,46380,,"46380; 70200",STAFFANSTORP,24521,BOX 39,"Bolaget skall bedriva import, export och försäljning av livsmedelsprodukter och konsulttjänster inom restaurang- och livsmedelsbranschen samt därmed förenlig verksamhet.",1992-03-09,active,,,,
556388-2793,SRW Invest Aktiebolag,SRW Invest Aktiebolag,46360,,"46360; 46370; 68201; 46431",VAXHOLM,18541,HARPALTSVÄGEN 2,"Bolaget skall bedriva bygg och fastighetsverksamhet, värdepappershantering samt därmed förenlig verksamhet.",1990-05-04,active,,,,
556411-2778,Scanglas Aktiebolag,Scanglas Aktiebolag,46440,,46440,STOCKHOLM,10646,KWB 640W BILLO,"Bolaget skall bedriva import, export och handel med glasråvaror och glasprodukter och därmed förenlig verksamhet.",1990-11-13,active,,,,
556411-3628,Närlant Import Aktiebolag,Närlant Import Aktiebolag,46610,,46610,ÖREBRO,70375,FILAREVÄGEN 8,Bolaget skall bedriva import och försäljning av maskiner och reservdelar för lantbruk och grönytebehandling ävensom idka därmed förenlig verksamhet.,1990-11-13,active,,,,
556374-9877,Färggrossisten Alf Håkansson Aktiebolag,Färggrossisten Alf Håkansson Aktiebolag,47523,,47523,MALMÖ,21450,NORRA GRÄNGESBERGSGATAN 20,Bolaget skall bedriva handel med färgprodukter samt därmed förenlig verksamhet.,1989-11-08,active,,,,
556378-3918,Heidelberg Sverige AB,Heidelberg Sverige AB,46649,,46649,LIMHAMN,20061,BOX 30013,"Bolaget skall idka handel med maskiner, tillbehör och utensilier för tryckerier (kommersiella och \in-house\), bokbinderier, kartonnage fabriker, sats- och reproanstalter och emballage- industrin samt övriga maskiner huvudsakligen för pappersindustrin jämte tillbehör samt bedriva annan därmed förenlig verksamhet.",1989-11-23,active,,,,
556434-9982,Frei Lacke AB,Frei Lacke AB,46900,,46900,PÅARP,25351,MASKINISTGATAN 10,Bolaget skall bedriva handel med lacker och färger samt därmed förenlig verksamhet.,1991-10-16,active,,,,
556438-5135,Forsström Innovative Products AB,Forsström Innovative Products AB,46431,,"46431; 46649",KUNGÄLV,44242,LINGONVÄGEN 11,"Bolaget ska bedriva konsultverksamhet inom köksutrustning, tvättutrustning, högtrycksutrustning, brandbekämpningssystem samt därmed förenlig verksamhet.",1991-12-18,active,,,,
556407-1503,Tommy Svanborg Trading Aktiebolag,Tommy Svanborg Trading Aktiebolag,46841,,"46841; 25999",KUNGSÖR,73623,BOX 123,Bolaget skall bedriva partihandel med järnhandelsvaror och liknade samt uthyrning av kontorsmaskiner och kontorsinventarier samt annan därmed förenlig verksamhet.,1990-10-02,active,,,,
556413-0952,Edition Robert Malmkvist Aktiebolag,Edition Robert Malmkvist Aktiebolag,47791,,"47791; 47692; 74120; 90110",STOCKHOLM,11860,GRÄSGATAN 3  3 TR,"Bolaget skall bedriva handel med konst och antikvariska böcker, bedriva konsultativ verksamhet inom områdena bokutgivning, reklam, grafisk produktion och grafisk formgivning samt bedriva projekt avseende psykosocialt arbete jämte därmed förenlig verksamhet.",1990-12-05,active,,,,
556418-1245,R Björk Trading Aktiebolag,R Björk Trading Aktiebolag,47811,,47811,KALLINGE,37250,BREDÅKRAVÄGEN 13,"Bolaget skall bedriva försäljning av begagnade bilar, maskiner och inventarier inom verkstadsbranschen samt äga och förvalta hyresfastigheter ävensom idka därmed förenlig verksamhet.",1991-02-12,active,,,,
556399-0695,HEMARCH AB,HEMARCH AB,47112,,"47112; 70200",DOMSTEN,25478,BARKVÄGEN 9 B,"Aktiebolaget ska bedriva psykologisk konsultverksamhet, arkitektur och arkitektverksamhet, ekonomi och organisationskonsultation, marknadskommunikation samt därmed förenlig verksamhet.",1990-06-18,active,,,,
556442-7358,Wretman Stenmontage Aktiebolag,Wretman Stenmontage Aktiebolag,46831,,46831,TÄBY,18352,BASTUHOLMSVÄGEN 10,Bolaget skall bedriva försäljning och montering av natursten och därmed förenlig verksamhet.,1992-02-05,active,,,,
556440-3458,ENA Brandskydd AB,ENA Brandskydd AB,46649,,46649,MALMÖ,21759,LIMHAMNSVÄGEN 18 A,Bolaget skall direkt eller genom dotterbolag bedriva entreprenadverksamhet inom brandsektionering samt ägande och förvaltning av värdepapper och fastigheter samt därmed förenlig verksamhet.,1992-01-21,active,,,,
556450-9098,PP Katalogen AB,PP Katalogen AB,46499,,46499,YSTAD,27193,SKÖNADALSVÄGEN 212,Bolagets verksamhet är att bedriva handel med fast och lös egendom Samt konsultverksamhet avseende företags organisation,1992-10-13,active,,,,
