orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556252-7092,Riksmäklaren Sverige AB,Riksmäklaren Sverige AB,70200,,70200,UPPSALA,74152,BÄRBY ÄNG 22,"Aktiebolagets verksamhet ska vara att: Lämna service till fastighetsmäklare knutna till bolaget genom särskilda avtal; Bedriva upplysnings- informations- och utbildningsverksamhet; Samordna och administrera reklam- och marknadsföringsfrågor; När mäklarlagen så medger, ingå centrala avtal rörande kringtjänster att ebjuda fastighetsmäklarnas kunder; samt i övrigt åtaga sig centrala fuktioner som i andra avseenden kan påfordras.",1984-11-26,active,,,,
556041-9599,Rydahls Teknik AB,Rydahls Teknik AB,43210,,43210,KARLSTAD,65005,BOX 5014,"Bolaget skall bedriva handels- och installationsrörelse inom el-, tele- och IT branscherna, äga och förvalta fast och lös egendom samt bedriva därmed förenlig verksamhet.",1942-12-21,active,,,,
556259-2633,Waddixen Fastigheter Aktiebolag,Waddixen Fastigheter Aktiebolag,71121,,71121,TORSLANDA,42340,KLIPPFYRSVÄGEN 13,Bolaget skall äga och förvalta fastigheter och värdepapper samt idka därmed förenlig verksamhet.,1985-06-06,active,,,,
556257-6750,Advokatfirman Frenander Aktiebolag,Advokatfirman Frenander Aktiebolag,69101,,69101,ÖREBRO,70339,KLOSTERGATAN 23,Bolaget skall uteslutande under förutsättning av medgivande av Sveriges advokatsamfunds styrelse driva advokatverksamhet.,1985-03-11,active,,,,
556268-2590,Patric Svensson Förvaltnings Aktiebolag,Patric Svensson Förvaltnings Aktiebolag,70100,,70100,GÖTEBORG,40336,,"Bolaget skall äga och förvalta fast egendom, äga och förvalta samt handla med värdepapper samt därmed förenlig verksamhet.",1987-12-21,active,,,,
556243-7870,Bengt Göransson Måleri Aktiebolag,Bengt Göransson Måleri Aktiebolag,43341,,43341; 43310,MÖLNDAL,43139,WENNERBERGSGATAN 30,Bolaget skall utöva måleriverksamhet och därmed jämförlig verksamhet samt entrepenad- och montagearbeten och därmed jämförlig verksamhet.,1984-06-04,active,,,,
556254-4261,XCOM Technologies AB,XCOM Technologies AB,71123,,71123,GÖTEBORG,41670,UDDEVALLAGATAN 14,Bolaget skall bedriva utveckling och tillverkning av elektroniska pris- och informationssystem till detaljhandeln samt därmed förenlig verksamhet.,1985-02-04,active,,,,
556262-0160,Bamses Invest Aktiebolag,Bamses Invest Aktiebolag,69102,,69102; 68203,MALMÖ,21566,URBANSGATAN 6,"Bolaget skall bedriva utveckling och försäljning av patenträtter, handel med antikviteter, handel med guld, silver, diamanter, förvaltning av fastigheter, förmedling av fast och lös egendom, hålla auktioner samt därmed förenlig verksamhet.",1985-09-23,active,,,,
556251-4496,AB Carl Gustaf Hartman Bokföringskontor,AB Carl Gustaf Hartman Bokföringskontor,69201,,69201,LUND,22236,TRYCKERIGATAN 3  LGH 1301,"Bolaget skall bedriva redovisningsverksamhet, företagsservice och konsultverksamhet inom ekonomi jämte därmed förenlig verksamhet.",1984-11-14,active,,,,
556264-2792,Myssjönäsets Gräv AB,Myssjönäsets Gräv AB,43120,,43120,OVIKEN,84573,MJÄLA 334,Bolaget ska utföra gräv och schaktarbeten samt därmed förenlig verksamhet.,1985-10-21,active,,,,
556240-0159,Head-Consulting Bjärslinde & Co Aktiebolag,Head-Consulting Bjärslinde & Co Aktiebolag,70200,,70200,VÄSTERVIK,59340,LAXGATAN 37,"Bolaget skall: utföra tekniska, ekonomiska och administrativa konsulttjänster, idka handel med verkstadsmaskiner idka handel och förvaltning av värdepapper, dock ej sådan rörelse som avses i lagen om bankrörelse eller lag om kreditbolag idka handel ovanstående punkter förenlig verksamhet.",1984-02-22,active,,,,
556233-9134,Jaypi Invest Aktiebolag,Jaypi Invest Aktiebolag,70200,,70200,HÄSSELBY,16565,HÄSSELBY STRANDVÄG 50,"Bolaget skall självt eller genom dotterbolag bedriva handel med värdepapper och därmed förenlig verksamhet samt själv eller genom dotterbolag bedriva tillverkning av produkter inom verkstads-, elektronik- och dataindustrin driva handelsrörelse och agenturverksamhet med sådana produkter, idka teknisk konsultverksamhet inom ovan nämnda områden samt äga och förvalta fast egendom ävensom driva därmed förenlig verksamhet.",1983-10-04,active,,,,
556238-4056,M-B Björklunds Redovisningsbyrå Aktiebolag,M-B Björklunds Redovisningsbyrå Aktiebolag,69201,,69201,HUDDINGE,14160,SÖRDALAVÄGEN 16,Bolaget skall bedriva företagsekonomisk konsultation och därmed förenlig verksamhet.,1983-12-29,active,,,,
556240-4748,Skottfjället Aktiebolag,Skottfjället Aktiebolag,70200,,70200,UDDEVALLA,45116,BOX 150,"Bolaget skall äga, förvalta och handla med fastigheter och värdepapper, bedriva tillverkning och försäljning av sten-, plast-, och miljövårdsprodukter, fritidsartiklar, utföra verkstadsarbeten och bedriva uthyrning av kontorsinventarier och tält samt därmed förenlig verksamhet.",1984-03-19,active,,,,
556240-0787,SveMa Group AB,SveMa Group AB,70200,,70200,MÖLNDAL,43130,MÖLNDALS BRO 7,"Bolaget ska utföra analyser av marknads- och opinionsundersökningar, förvalta immateriella rättigheter och royalties samt därmed förenlig verksamhet. Handel med värdepapper och därmed förenlig verksamhet.",1984-04-19,active,,,,
