orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556480-4796,Structab Aktiebolag,Structab Aktiebolag,46641,,46641,HALMSTAD,30231,SLOTTSMÖLLAN 14 B,"Bolaget skall konstruera, tillverka och sälja elektronisk utrustning, företrädesvis för fordon, ävensom idka därmed förenlig verksamhet.",1994-01-03,active,,,,
556480-6890,Svenska Produkt-Depån Aktiebolag,Svenska Produkt-Depån Aktiebolag,46860,,46860,UPPLANDS VÄSBY,19447,BONDMORAGATAN 10,Bolaget skall bedriva försäljning av kemtekniska underhållsprodukter och industrilimmer samt därmed jämförlig verksamhet.,1994-01-31,active,,,,
556485-0211,gasolstationen väst AB,gasolstationen väst AB,47789,,"47789; 47300; 49330",VÅXTORP,31298,STACKARP 280,Bolaget ska bedriva försäljning av gasol samt idka därmed förenlig verksamhet.,1994-03-29,active,,,,
556479-3007,PEGÖ Industriprodukter Aktiebolag,PEGÖ Industriprodukter Aktiebolag,46860,,46860,NYKÖPING,61138,NORRKÖPINGSVÄGEN 7,"Bolaget skall bedriva försäljning av gummi- och skyddsprodukter till i första hand industrin ävensom att äga och förvalta fast och lös egendom, samt att idka därmed sammanhängande verksamhet.",1993-12-29,active,,,,
556491-6293,Eco 4 Trade Invest AB,Eco 4 Trade Invest AB,46340,,46340,NACKA,13148,FYRSPANNSVÄGEN 74,"Aktiebolaget ska bedriva handel med fastigheter och värdepapper, rådgivning och konsultverksamhet inom ekonomi, import och försäljning av ekologiska viner samt därmed förenlig verksamhet.",1994-08-25,active,,,,
556491-9735,K G S Metall Aktiebolag,K G S Metall Aktiebolag,46820,,46820,GAMLEBY,59432,VARVSGATAN 2,Bolaget skall bedriva handel med industrimetaller ävensom idka därmed förenlig verksamhet.,1994-08-19,active,,,,
556485-6721,S. Linders Agenturer Aktiebolag,S. Linders Agenturer Aktiebolag,46420,,46420,STOCKHOLM,11431,FLORAGATAN 11,"Bolaget skall driva import och försäljning av barnkläder och tillbehör. Därutöver skall bolaget bedriva konsultverksamhet och ägande, förvaltande samt handel med aktier, andelar och värdepapper. Bolaget skall också bedriva verksamhet som är förenlig med ovanstående.",1994-05-06,active,,,,
556480-0521,PallTech AB,PallTech AB,46860,,"46860; 68203",ODENSBACKEN,71591,USTA 615,"Bolaget skall bedriva reparation och handel med emballagepallar, tillverkning och handel med industrikorgar, handel och förvalt- ning av värdepapper, tävlingsverksamhet med travhästar samt annan därmed förenlig verksamhet.",1993-12-30,active,,,,
556469-8669,Miljökemi Mikab och Limtek AB,Miljökemi Mikab och Limtek AB,46850,,46850,HELSINGBORG,25468,ANDESITGATAN 13 K,"Bolagets verksamhet är forskning, utveckling, tillverkning och försäljning av kemisk-tekniska produkter och produkter med anknytning till modellflyg, bedriva ägande och förvaltning av fast och lös egendom, såsom aktier, obligationer och andra finansiella instrument samt kroppsvård och hushållsnära tjänster och därmed förenlig verksamhet.",1993-07-13,active,,,,
556487-5325,Fritid och Vildmarksliv i Norr Aktiebolag,Fritid och Vildmarksliv i Norr Aktiebolag,47631,,47631,ÖJEBYN,94332,TURBOVÄGEN 3,Bolaget skall bedriva inköp och försäljning av produkter inom jakt- och fritidsområdet ävensom bedriva därmed förenliga verksamheter.,1994-07-28,active,,,,
556471-0860,Bionord Biokemi Aktiebolag,Bionord Biokemi Aktiebolag,46850,,46850,LUND,22478,KALKSTENSVÄGEN 2,"Bolaget skall bedriva marknadsföring, försäljning, agenturverksamhet inom läkemedelsbranschen och med biokemiska produkter och därmed förenlig verksamhet.",1993-08-24,active,,,,
556495-5952,Bentino Aktiebolag,Bentino Aktiebolag,46120,,"46120; 70200",STENUNGSUND,44447,SOLGÅRDSVÄGEN 2 C,Bolaget skall bedriva konsultverksamhet inom bygg och företagstjänster.,1994-10-28,active,,,,
556492-2754,Odisseus i Stockholm Aktiebolag,Odisseus i Stockholm Aktiebolag,46471,,46471,NACKA,13141,LILLÄNGSVÄGEN 53,"Bolaget skall bedriva handel med möbler, antikviteter, konst heminredningsartiklar och därmed liknande varor samt bedriva konsultationsverksamhet beträffande sådana varor dessutom skall bolaget bedriva godtrafiktransporter, köp och försäljning av motorfordon och konfektion samt bedriva med dessa verksamhet förenlig verksamhet.",1994-09-19,active,,,,
