orgnr,company_name,legal_name,sni_branch_keyword,current_industry,industries,post_place,zip_code,address,verksamhetsbeskrivning,registration_date,status,email_from_allabolag,homepage_from_allabolag,target_url,allabolag_url
556374-2500,SME Office i Eskilstuna Aktiebolag,SME Office i Eskilstuna Aktiebolag,46492,,46492,ESKILSTUNA,63233,TALTRASTVÄGEN 27,Bolaget skall idka handel med kontorsmaterial ävensom idka därmed förenlig verksamhet.,1989-11-28,active,,,,
556376-0999,Holje Data Aktiebolag,Holje Data Aktiebolag,47401,,47401,OLOFSTRÖM,29334,ÖSTRA STORGATAN 6,"Bolaget skall bedriva handel med och service av datorer och datautrustning, utveckling och underhåll av hemsidor och internet- tjänster samt därmed förenlig verksamhet.",1989-12-01,active,,,,
556375-2012,Procedo International i Malmö Aktiebolag,Procedo International i Malmö Aktiebolag,47811,,47811,HJÄRUP,24562,NÄKTERGALEN 3,"Bolaget skall bedriva handel med personbilar, förmedling av tjänster inom finansmarknaden, redovisningsbyråverksamhet samt äga och förvalta aktier, värdepapper och fastigheter jämte därmed förenlig verksamhet.",1989-12-11,active,,,,
556376-8299,Glassfabriken i Göteborg Aktiebolag,Glassfabriken i Göteborg Aktiebolag,46360,,46360; 47242,VÄSTRA FRÖLUNDA,42132,AXEL ADLERS GATA 4,"Bolaget skall bedriva glassförsäljning inom såväl grossist som detaljledet, fastighetsförvaltning, handel med fastigheter och värdepapper samt idka därmed förenlig verksamhet.",1989-11-08,active,,,,
556658-2002,JANREF försäljnings Aktiebolag,JANREF försäljnings Aktiebolag,46831,,46831,DEGERFORS,69333,KRANVÄGEN 4,"Bolaget skall bedriva konsultationer och försäljning inom området eldfasta och isolerade material för metallurgi- och verkstadsindustrin, förvaltning av och handel med värdepapper och fastigheter samt därmed förenlig verksamhet.",2004-03-22,active,,,,
556658-9361,THK Produkter AB,THK Produkter AB,46501,,46501,BORÅS,50451,KATRINEDALSGATAN 14,"Föremålet för bolagets verksamhet är att bedriva försäljning av kontorsprodukter, profilprodukter, datatillbehör, möbler samt kontorsmaskiner och därmed förenlig verksamhet.",2004-04-02,active,,,,
556658-6748,Carl Bechem Scandinavia AB,Carl Bechem Scandinavia AB,46860,,46860; 46850,VÄXJÖ,35246,HAMMARGATAN 11,"Bolaget ska bedriva produktion och distribution av smörjämnen, hydraulvätskor och hjälpmedel för metallbearbetning, i Sverige, Norge, Danmark och Finland samt därmed förenlig verksamhet.",2004-03-30,active,,,,
556394-7588,GLF Norrland AB,GLF Norrland AB,47300,,47300,ARNÄSVALL,89196,HORNÖN 228,Bolaget ska bedriva handel med oljeprodukter och därmed förenlig verksamhet.,1990-05-02,active,,,,
556409-0586,Aktiebolaget Helgoland,Aktiebolaget Helgoland,47112,,47112,FALUN,79127,BOX 292,"Bolaget ska bedriva försäljning av livsmedel, handel med värde- papper och därmed jämförlig lös egendom samt konsultationer inom management och ekonomi jämte därmed förenlig verksamhet.",1991-01-21,active,,,,
556623-4638,Bony Holding AB,Bony Holding AB,46190,,46190,KÖPINGSVIK,38750,SKRIVAREGATAN 3,"Bolaget skall bedriva agenturrörelse inom järnvaruhandeln, äga och förvalta aktier samt därmed förenlig verksamhet.",2002-02-04,active,,,,
556627-1838,Huddinge Kommunikation AB,Huddinge Kommunikation AB,47402,,47402,HUDDINGE,14147,SJÖDALSVÄGEN 14,Bolaget skall bedriva försäljning av trådlös och trådbunden kommunikation samt konsultverksamhet i anslutning härtill ävensom idka därmed förenlig verksamhet.,2002-04-25,active,,,,
