name, orgnr
Älmeboda Bygg Aktiebolag,556150-4837
Sigurd Larsson Byggnadsaktiebolag,556150-6097
Nordgårdgruppen AB,556150-6691
Sven Olovs El & VVS Aktiebolag,556150-6949
Åkerhags Byggnadsfirma Aktiebolag,556150-8572
Fürstenhoff & Son Aktiebolag,556150-8622
R. Söderbergs El. Aktiebolag,556150-9851
Malms Rör och Smides Aktiebolag,556151-0636
Aktiebolaget Bröderna Thorins Grävmaskiner,556151-0875
Vintrie Metall & Glas Dörrservice Aktiebolag,556151-1741
Väbo i Staffanstorp Aktiebolag,556151-3663
Sys Byggnads Aktiebolag,556151-8266
Carlbergs Lås Aktiebolag,556151-8985
HBL 157 AB,556151-9157
Jan Hallman Entreprenad AB,556151-9579
Falkenbergs Elektriska AB,556152-0858
Aquasol AB,556152-1658
ES Snickeri i Linköping Aktiebolag,556152-4371
Nilssons Bygg- och Fastighetsservice Aktiebolag,556152-4546
Börje Säll Plåtslageri och Taksmide Aktiebolag,556153-0071
Anders Marieholms Glas AB,556153-1863
Gunnar Burlin Åkeri Aktiebolag,556153-6219
Fässbergs Elektriska Aktiebolag,556153-7308
CM Bygg & Industriservice i Degerfors AB,556153-8751
P.A. Berntsson Entreprenad Aktiebolag,556153-9072
Lindholmens El AB,556154-2076
Tornparken Bygg & Projektledning AB,556154-3389
Nässjö Golv Aktiebolag,556154-5202
Aktiebolaget Kurt-Görans Elektriska,556154-6804
Aktiebolaget Sollefteå Sprängtjänst,556154-8305
Glastjänst i Svedala Aktiebolag,556155-1978
Coordinator Mark och Frästeknik AB,556155-2315
Elektro-Värme Dahlström AB,556155-3370
Nordins Traktorer & Svets Aktiebolag,556155-4865
Stockholms Golventreprenör Åke Lundberg Aktiebolag,556155-7769
Elaktiebolaget Olle Widell,556155-8569
Annebergs Elektriska Aktiebolag,556155-8890
KSP Mark AB,556156-0334
J Cavallius AB,556156-2132
Vatten & Värme i Emmaboda Aktiebolag,556156-2892
Harry S. Johanssons Entreprenad Aktiebolag,556156-3023
Glashuset i Hagen Aktiebolag,556156-3379
Perstorps Kommunfastigheter AB,556156-3791
Lindströms elservice AB,556156-5168
Svets & Plåtarbeten i Borlänge Aktiebolag,556156-7867
Vätterns Plåtslageri AB,556156-8642
Göte Lund Åkeri & Entreprenad Aktiebolag,556156-8857
Svenssons Bygghandel AB,556156-8881
Retzner Arén Rekonstruktion och Arkitektur Aktiebolag,556157-1711
